"Reference","Value","Footprint","Datasheet","Mfg","PartNum","Sim.Device","Sim.Pins","Qty"
"C1","47uF","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder","","Kemet","T491X476K035AT","","","1"
"C3","10uF","Capacitor_SMD:C_1210_3225Metric","~","Samsung Electro-Mechanics","CL32A106KLULNNE","","","1"
"C4","18nF","Capacitor_SMD:C_0805_2012Metric","~","KYOCERA AVX","KGM21NR71H183KT","","","1"
"C5","470pF","Capacitor_SMD:C_0805_2012Metric","~","Kemet","C0805C471K5RAC7800","","","1"
"D1","LED","LED_SMD:LED_0805_2012Metric","~","Wurth","150080RS75000","","","1"
"D2","PMEG10010ELRX","Diode_SMD:Nexperia_CFP3_SOD-123W","~","Nexperia","PMEG10010ELRX","D","1=K 2=A","1"
"F1","0ZCF0125FF2C","Fuse:Fuse_2920_7451Metric","~","Bel Fuse","0ZCF0125FF2C","","","1"
"J1, J2","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","TE","282837-2","","","2"
"J3","Barrel_Jack","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~","CUI","PJ-063AH","","","1"
"R1","49R9","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-0749R9L","","","1"
"R2","191k","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-07191KL","","","1"
"R3","162k","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-07162KL","","","1"
"R4, R5","4k7","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805JR-074K7L","","","2"
"U1","DRV104PWP","driver-v0:IC_TPS27S100BPWPR","","TI","DRV104PWP","","","1"
